locationId,location,parameter,value,date/utc,date/local,unit,coordinates/latitude,coordinates/longitude,country,city,isMobile,isAnalysis,entity,sensorType
339557,Kennedy_Inem_Kennedy,um010,2.98,2023-02-02T03:59:12+00:00,2023-02-01T22:59:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um100,0,2023-02-02T03:59:12+00:00,2023-02-01T22:59:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um100,0,2023-02-02T03:53:12+00:00,2023-02-01T22:53:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm25,39.8,2023-02-02T03:53:12+00:00,2023-02-01T22:53:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um010,3.16,2023-02-02T03:53:12+00:00,2023-02-01T22:53:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm10,48.3,2023-02-02T03:53:12+00:00,2023-02-01T22:53:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm1,25.6,2023-02-02T03:53:12+00:00,2023-02-01T22:53:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um025,0,2023-02-02T03:53:12+00:00,2023-02-01T22:53:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um025,0,2023-02-02T03:49:12+00:00,2023-02-01T22:49:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um100,0,2023-02-02T03:49:12+00:00,2023-02-01T22:49:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um010,3.02,2023-02-02T03:49:12+00:00,2023-02-01T22:49:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm25,39.2,2023-02-02T03:49:12+00:00,2023-02-01T22:49:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm10,47.4,2023-02-02T03:49:12+00:00,2023-02-01T22:49:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm1,25.6,2023-02-02T03:49:12+00:00,2023-02-01T22:49:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um010,2.99,2023-02-02T03:43:12+00:00,2023-02-01T22:43:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm1,24.5,2023-02-02T03:43:12+00:00,2023-02-01T22:43:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um100,0,2023-02-02T03:43:12+00:00,2023-02-01T22:43:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm25,38.9,2023-02-02T03:43:12+00:00,2023-02-01T22:43:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm10,46.7,2023-02-02T03:43:12+00:00,2023-02-01T22:43:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um025,0,2023-02-02T03:43:12+00:00,2023-02-01T22:43:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
