locationId,location,parameter,value,date/utc,date/local,unit,coordinates/latitude,coordinates/longitude,country,city,isMobile,isAnalysis,entity,sensorType,dayOfWeek
339545,Tunjuelito_Cemex,pm25,20.4,2023-02-06T11:03:32+00:00,2023-02-06T06:03:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,34.2,2023-02-06T11:01:32+00:00,2023-02-06T06:01:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,18.4,2023-02-06T10:59:32+00:00,2023-02-06T05:59:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,25.1,2023-02-06T10:57:32+00:00,2023-02-06T05:57:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,24.1,2023-02-06T10:55:32+00:00,2023-02-06T05:55:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,30.6,2023-02-06T10:53:32+00:00,2023-02-06T05:53:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,28.4,2023-02-06T10:51:32+00:00,2023-02-06T05:51:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,18.6,2023-02-06T10:49:32+00:00,2023-02-06T05:49:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,21.8,2023-02-06T10:47:32+00:00,2023-02-06T05:47:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,22.2,2023-02-06T10:45:32+00:00,2023-02-06T05:45:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,38,2023-02-06T10:43:32+00:00,2023-02-06T05:43:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,103.2,2023-02-06T10:41:32+00:00,2023-02-06T05:41:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,35.4,2023-02-06T10:39:32+00:00,2023-02-06T05:39:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,18.5,2023-02-06T10:37:32+00:00,2023-02-06T05:37:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,95.6,2023-02-06T10:35:32+00:00,2023-02-06T05:35:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,33.8,2023-02-06T10:33:32+00:00,2023-02-06T05:33:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
