locationId,location,parameter,value,dateUtc,dateLocal,unit,latitude,longitude,country,city,isMobile,isAnalysis,entity,sensorType
222263,"SALITRE","um025",0.04,"2023-03-15T23:11:11+00:00","2023-03-15T18:11:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.68,"2023-03-15T23:09:11+00:00","2023-03-15T18:09:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T23:09:11+00:00","2023-03-15T18:09:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm10",14.4,"2023-03-15T23:09:11+00:00","2023-03-15T18:09:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",13.9,"2023-03-15T23:09:11+00:00","2023-03-15T18:09:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.04,"2023-03-15T23:09:11+00:00","2023-03-15T18:09:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",10.5,"2023-03-15T23:09:11+00:00","2023-03-15T18:09:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",13.8,"2023-03-15T23:07:11+00:00","2023-03-15T18:07:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm10",14.8,"2023-03-15T23:07:11+00:00","2023-03-15T18:07:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.72,"2023-03-15T23:07:11+00:00","2023-03-15T18:07:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T23:07:11+00:00","2023-03-15T18:07:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",10.6,"2023-03-15T23:07:11+00:00","2023-03-15T18:07:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.05,"2023-03-15T23:07:11+00:00","2023-03-15T18:07:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",8.8,"2023-03-15T23:03:11+00:00","2023-03-15T18:03:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.04,"2023-03-15T23:03:11+00:00","2023-03-15T18:03:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",11.5,"2023-03-15T23:03:11+00:00","2023-03-15T18:03:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm10",12.6,"2023-03-15T23:03:11+00:00","2023-03-15T18:03:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T23:03:11+00:00","2023-03-15T18:03:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.57,"2023-03-15T23:03:11+00:00","2023-03-15T18:03:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",13.1,"2023-03-15T22:59:11+00:00","2023-03-15T17:59:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",10.3,"2023-03-15T22:59:11+00:00","2023-03-15T17:59:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T22:59:11+00:00","2023-03-15T17:59:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
